date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20231229,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240102,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240103,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240104,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240105,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240108,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240109,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240110,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
20240111,431019.1637500006,0,509600.0,940619.1637500005,1276947.5497500002,-0.26338465198969674,3
20240112,431019.1637500006,0,480700.0,911719.1637500005,1276947.5497500002,-0.2860167483554855,3
20240115,574182.8487500006,0,343900.0,918082.8487500006,1276947.5497500002,-0.28103323513190337,2
20240116,574182.8487500006,0,334600.0,908782.8487500006,1276947.5497500002,-0.28831622808006374,2
20240117,574182.8487500006,0,351500.0,925682.8487500006,1276947.5497500002,-0.2750815419699658,2
20240118,574182.8487500006,0,366400.0,940582.8487500006,1276947.5497500002,-0.2634130909024829,2
20240119,574182.8487500006,0,362300.0,936482.8487500006,1276947.5497500002,-0.266623872739844,2
20240122,574182.8487500006,0,342000.0,916182.8487500006,1276947.5497500002,-0.2825211584223877,2
20240123,574182.8487500006,0,344800.0,918982.8487500006,1276947.5497500002,-0.2803284293627265,2
20240124,574182.8487500006,0,360300.0,934482.8487500006,1276947.5497500002,-0.2681901077824591,2
20240125,574182.8487500006,0,354900.0,929082.8487500006,1276947.5497500002,-0.27241894239752007,2
20240126,574182.8487500006,0,355300.0,929482.8487500006,1276947.5497500002,-0.272105695388997,2
20240129,574182.8487500006,0,349400.0,923582.8487500006,1276947.5497500002,-0.2767260887647117,2
