date,nav,cash,market_value,positions,peak,drawdown
20231120,3505624.2828332516,1184124.2828332516,2321500.0,3,3505624.2828332516,0.0
20231121,3524406.6910832515,519706.6910832516,3004700.0,4,3524406.6910832515,0.0
20231122,3650906.6910832515,519706.6910832516,3131200.0,4,3650906.6910832515,0.0
20231123,3551806.6910832515,519706.6910832516,3032100.0,4,3650906.6910832515,-0.02714394214512128
20231124,3565056.6910832515,519706.6910832516,3045350.0,4,3650906.6910832515,-0.023514706691812992
20231127,3469106.6910832515,519706.6910832516,2949400.0,4,3650906.6910832515,-0.049795849465015696
20231128,3576406.6910832515,519706.6910832516,3056700.0,4,3650906.6910832515,-0.020405889907280872
20231129,3585006.6910832515,519706.6910832516,3065300.0,4,3650906.6910832515,-0.018050310669661895
20231130,3638756.6910832515,519706.6910832516,3119050.0,4,3650906.6910832515,-0.0033279404345430974
20231201,3724456.6910832515,519706.6910832516,3204750.0,4,3724456.6910832515,0.0
20231204,3734606.6910832515,519706.6910832516,3214900.0,4,3734606.6910832515,0.0
20231205,3674506.6910832515,519706.6910832516,3154800.0,4,3734606.6910832515,-0.016092725411619546
20231206,3699786.4803332514,1257736.4803332514,2442050.0,4,3734606.6910832515,-0.009323662069458782
20231207,3675836.4803332514,1257736.4803332514,2418100.0,4,3734606.6910832515,-0.01573665331086127
20231208,3700386.4803332514,1257736.4803332514,2442650.0,4,3734606.6910832515,-0.009163002581156432
20231211,3656436.4803332514,1257736.4803332514,2398700.0,4,3734606.6910832515,-0.020931310099304268
20231212,3647236.4803332514,1257736.4803332514,2389500.0,4,3734606.6910832515,-0.023394755586607086
20231213,3646086.4803332514,1257736.4803332514,2388350.0,4,3734606.6910832515,-0.023702686272519924
20231214,3642266.1023332514,1560166.1023332514,2082100.0,3,3734606.6910832515,-0.02472565289685591
20231215,3634016.1023332514,1560166.1023332514,2073850.0,3,3734606.6910832515,-0.02693472086101334
20231218,3612666.1023332514,1560166.1023332514,2052500.0,3,3734606.6910832515,-0.032651520986438975
20231219,3592966.1023332514,1560166.1023332514,2032800.0,3,3734606.6910832515,-0.03792650751903304
20231220,3598766.1023332514,1560166.1023332514,2038600.0,3,3734606.6910832515,-0.03637346579877687
20231221,3620316.1023332514,1560166.1023332514,2060150.0,3,3734606.6910832515,-0.030603112510583896
20231222,3613916.1023332514,1560166.1023332514,2053750.0,3,3734606.6910832515,-0.03231681371914241
20231225,3588416.1023332514,1560166.1023332514,2028250.0,3,3734606.6910832515,-0.03914484197199264
20231226,3628766.1023332514,1560166.1023332514,2068600.0,3,3734606.6910832515,-0.028340491383659017
20231227,3662816.1023332514,1560166.1023332514,2102650.0,3,3734606.6910832515,-0.019223065422500185
20231228,3666066.1023332514,1560166.1023332514,2105900.0,3,3734606.6910832515,-0.01835282652752901
20231229,3669816.1023332514,1560166.1023332514,2109650.0,3,3734606.6910832515,-0.01734870472563932
20240102,3662966.1023332514,1560166.1023332514,2102800.0,3,3734606.6910832515,-0.019182900550424598
20240103,3624266.1023332514,1560166.1023332514,2064100.0,3,3734606.6910832515,-0.029545437545926645
20240104,3594316.1023332514,1560166.1023332514,2034150.0,3,3734606.6910832515,-0.03756502367035275
20240105,3579107.2063332517,964457.2063332514,2614650.0,4,3734606.6910832515,-0.04163744608535902
20240108,3528607.2063332517,964457.2063332514,2564150.0,4,3734606.6910832515,-0.05515961968414085
20240109,3530038.1160832513,1576638.1160832513,1953400.0,3,3734606.6910832515,-0.0547764709704045
20240110,3580438.1160832513,1576638.1160832513,2003800.0,3,3734606.6910832515,-0.0412810739530064
20240111,3612030.0828332515,864880.0828332513,2747150.0,4,3734606.6910832515,-0.03282182526547284
20240112,3568680.0828332515,864880.0828332513,2703800.0,4,3734606.6910832515,-0.04442947329531821
20240115,3675280.0828332515,864880.0828332513,2810400.0,4,3734606.6910832515,-0.01588563754026584
20240116,3629830.0828332515,864880.0828332513,2764950.0,4,3734606.6910832515,-0.028055593779169552
20240117,3567380.0828332515,864880.0828332513,2702500.0,4,3734606.6910832515,-0.04477756885330664
20240118,3573330.0828332515,864880.0828332513,2708450.0,4,3734606.6910832515,-0.043184362260974885
20240119,3571080.0828332515,864880.0828332513,2706200.0,4,3734606.6910832515,-0.04378683534210881
20240122,3575480.0828332515,864880.0828332513,2710600.0,4,3734606.6910832515,-0.042608665761224795
20240123,3597530.0828332515,864880.0828332513,2732650.0,4,3734606.6910832515,-0.036704429566113084
20240124,3661630.0828332515,864880.0828332513,2796750.0,4,3734606.6910832515,-0.019540640899144535
20240125,3657811.0428332514,1709611.0428332514,1948200.0,3,3734606.6910832515,-0.020563249252821603
20240126,3645663.5480832513,917163.5480832515,2728500.0,4,3734606.6910832515,-0.023815933070639228
20240129,3669263.5480832513,917163.5480832515,2752100.0,4,3734606.6910832515,-0.017496659864079778
20240130,3704563.5480832513,917163.5480832515,2787400.0,4,3734606.6910832515,-0.008044526635624383
20240131,3832663.5480832513,917163.5480832515,2915500.0,4,3832663.5480832513,0.0
20240201,3791472.7430832516,225572.7430832514,3565900.0,5,3832663.5480832513,-0.010747305231266546
20240202,3781072.7430832516,225572.7430832514,3555500.0,5,3832663.5480832513,-0.013460822833196717
20240205,3771172.7430832516,225572.7430832514,3545600.0,5,3832663.5480832513,-0.01604388285811098
20240215,3852772.7430832516,225572.7430832514,3627200.0,5,3852772.7430832516,0.0
20240216,3934772.7430832516,225572.7430832514,3709200.0,5,3934772.7430832516,0.0
20240219,3908054.2815832514,2607654.2815832514,1300400.0,2,3934772.7430832516,-0.006790344257357028
20240220,3896297.1220832514,2444547.1220832514,1451750.0,2,3934772.7430832516,-0.00977835913589542
20240221,3886047.1220832514,2444547.1220832514,1441500.0,2,3934772.7430832516,-0.012383338043004621
20240222,3919297.1220832514,2444547.1220832514,1474750.0,2,3934772.7430832516,-0.003933040612626004
20240223,3920547.1220832514,2444547.1220832514,1476000.0,2,3934772.7430832516,-0.0036153602581004973
20240226,3927797.1220832514,2444547.1220832514,1483250.0,2,3934772.7430832516,-0.0017728142018524906
20240227,3930297.1220832514,2444547.1220832514,1485750.0,2,3934772.7430832516,-0.0011374534928014768
