strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20241001,3081,289.5,306.5,303.0,MISSED,MISSED,,,True,True,True,
R7,20241016,6156,37.0,37.8,36.7,FILLED,FILLED,37.0,37.0,True,True,True,
R7,20241016,4956,36.95,37.0,36.7,FILLED,FILLED,36.95,36.95,True,True,True,
R7,20241017,1595,60.1,61.5,59.7,FILLED,FILLED,60.1,60.1,True,True,True,
R7,20241017,3710,15.700000000000001,15.75,15.2,FILLED,FILLED,15.7,15.700000000000001,True,True,True,
R7,20241021,6763,64.8,68.3,68.3,MISSED,MISSED,,,True,True,True,
R7,20241113,3706,62.300000000000004,64.8,63.5,MISSED,MISSED,,,True,True,True,
R7,20241203,6558,40.2,41.05,39.45,FILLED,FILLED,40.2,40.2,True,True,True,
R7,20241203,3211,201.5,206.5,195.5,FILLED,FILLED,201.5,201.5,True,True,True,
R7,20241205,6426,95.30000000000001,107.0,104.5,MISSED,MISSED,,,True,True,True,
R7,20241224,3019,165.0,170.5,164.5,FILLED,FILLED,165.0,165.0,True,True,True,
R7,20241224,3379,39.650000000000006,40.5,37.7,FILLED,FILLED,39.65,39.650000000000006,True,True,True,
R7,20241230,5314,646.0,690.0,679.0,MISSED,MISSED,,,True,True,True,
R7,20250203,3081,518.0,477.0,476.5,FILLED,FILLED,477.0,477.0,True,True,True,
R7,20250203,6613,254.5,248.0,241.0,FILLED,FILLED,249.5,248.0,True,False,False,
R7,20250206,6140,32.300000000000004,32.8,31.8,FILLED,FILLED,32.3,32.300000000000004,True,True,True,
R7,20250206,8096,47.35,50.3,49.2,MISSED,MISSED,,,True,True,True,
R7,20250210,6148,39.150000000000006,39.65,37.15,FILLED,FILLED,39.15,39.150000000000006,True,True,True,
R7,20250210,8096,52.900000000000006,55.0,52.6,FILLED,FILLED,52.9,52.900000000000006,True,True,True,
R7,20250214,4722,62.300000000000004,63.9,60.2,FILLED,FILLED,62.3,62.300000000000004,True,True,True,
R7,20250217,2034,24.5,24.95,24.15,FILLED,FILLED,24.5,24.5,True,True,True,
R7,20250217,3609,57.300000000000004,58.8,56.8,FILLED,FILLED,57.3,57.300000000000004,True,True,True,
R7,20250218,8234,86.0,89.9,89.2,MISSED,MISSED,,,True,True,True,
R7,20250226,4534,28.950000000000003,29.3,28.85,FILLED,FILLED,28.95,28.950000000000003,True,True,True,
R7,20250226,3213,135.0,136.0,132.5,FILLED,FILLED,135.0,135.0,True,True,True,
R7,20250304,8436,140.0,148.5,143.5,MISSED,MISSED,,,True,True,True,
R7,20250304,2641,23.25,23.75,23.25,FILLED,FILLED,23.25,23.25,True,True,True,
R7,20250515,6499,78.30000000000001,79.0,79.0,MISSED,MISSED,,,True,True,True,
R7,20250515,3027,38.2,39.5,37.6,FILLED,FILLED,38.2,38.2,True,True,True,
R7,20250606,8489,48.7,49.75,47.2,FILLED,FILLED,48.7,48.7,True,True,True,
R7,20250606,3128,36.75,37.55,36.6,FILLED,FILLED,36.75,36.75,True,True,True,
R7,20250611,2429,77.0,77.9,70.8,FILLED,FILLED,77.0,77.0,True,True,True,
R7,20250611,8932,127.5,130.5,124.5,FILLED,FILLED,127.5,127.5,True,True,True,
